name,score,params,model,features,n_trials,metadata
KNeighborsClassifier_stem_cap_gill_ringandveil_other_,0.9908564205735992,"{'n_neighbors': 7, 'weights': 'uniform', 'p': 3}","KNeighborsClassifier(metric='cosine', n_jobs=12, n_neighbors=7, p=3)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'spore-print-color', 'habitat', 'season', 'does-bruise-or-bleed']",34.0,{'limit_data_percentage': 0.05}
XGBClassifier_stem2_cap_gill2_ringandveil2_other2_,0.9897271042932168,"{'n_estimators': 1100, 'max_depth': 10, 'learning_rate': 0.030988421168331944, 'subsample': 0.6787530239580202, 'colsample_bytree': 0.5933809381992325, 'gamma': 0.34649093771543593, 'reg_alpha': 0.5451498159541758, 'reg_lambda': 8.238224072458516e-08, 'min_child_weight': 8.099114963966523}","XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.5933809381992325, device=None,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=0.34649093771543593,
              grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.030988421168331944,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=10, max_leaves=None,
              min_child_weight=8.099114963966523, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=1100,
              n_jobs=12, num_parallel_tree=None, random_state=None, ...)","['stem-height', 'stem-width', 'stem-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'habitat', 'season', 'does-bruise-or-bleed']",23.0,{'limit_data_percentage': 0.15}
RandomForestClassifier_stem_cap_gill_ringandveil_other_,0.990696003519951,"{'n_estimators': 339, 'max_depth': 19, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 'sqrt'}","RandomForestClassifier(max_depth=19, min_samples_leaf=2, min_samples_split=3,
                       n_estimators=339, n_jobs=12, random_state=1000000007)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'spore-print-color', 'habitat', 'season', 'does-bruise-or-bleed']",52.0,{'limit_data_percentage': 0.15}
XGBClassifier_stem_cap_gill_ring_and_veil_other_,0.9918039276212832,"{'n_estimators': 1100, 'max_depth': 20, 'learning_rate': 0.03205981897131471, 'subsample': 0.6080422711607165, 'colsample_bytree': 0.731406064201326, 'gamma': 0.22661645606115205, 'reg_alpha': 5.441981573511417, 'reg_lambda': 1.0474485884893977e-08, 'min_child_weight': 1.105746103697601}","XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.731406064201326, device=None,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=0.22661645606115205,
              grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.03205981897131471,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=20, max_leaves=None,
              min_child_weight=1.105746103697601, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=1100,
              n_jobs=12, num_parallel_tree=None, random_state=None, ...)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'spore-print-color', 'habitat', 'season', 'does-bruise-or-bleed']",,{'limit_data_percentage': 0.15}
LGBMClassifier_stem_cap_gill_ring_and_veil_other_,0.9915301551234819,"{'n_estimators': 353, 'max_depth': 18, 'learning_rate': 0.16920474244400038, 'num_leaves': 30, 'min_child_weight': 2.676153583538306, 'subsample': 0.31597088650146954, 'colsample_bytree': 0.7377830661694394, 'reg_alpha': 4.169675599810757e-06, 'reg_lambda': 0.00443794426192198}","LGBMClassifier(colsample_bytree=0.7377830661694394,
               learning_rate=0.16920474244400038, max_depth=18,
               min_child_weight=2.676153583538306, n_estimators=353, n_jobs=12,
               num_leaves=30, reg_alpha=4.169675599810757e-06,
               reg_lambda=0.00443794426192198, subsample=0.31597088650146954,
               verbosity=-1)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'spore-print-color', 'habitat', 'season', 'does-bruise-or-bleed']",,{'limit_data_percentage': 0.15}
CatBoostClassifier_stem_cap_gill_ring_and_veil_other_,0.9917119572925304,"{'iterations': 433, 'depth': 14, 'learning_rate': 0.05023043244263984, 'l2_leaf_reg': 0.2817804289080555, 'bagging_temperature': 0.4476120706329195, 'border_count': 171, 'scale_pos_weight': 0.763533018984639, 'random_strength': 1.1905613411291007, 'one_hot_max_size': 5, 'rsm': 0.7252067450846986, 'od_type': 'Iter', 'od_wait': 13}",<catboost.core.CatBoostClassifier object at 0x7f43befab200>,"['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'spore-print-color', 'habitat', 'season', 'does-bruise-or-bleed']",,{'limit_data_percentage': 0.15}
RidgeClassifier_stem2_cap_gill2_ringandveil2_other2_,0.776851655484605,"{'alpha': 4.399587613152068, 'tol': 2.582900392341658e-05}","RidgeClassifier(alpha=4.399587613152068, tol=2.582900392341658e-05)","['stem-height', 'stem-width', 'stem-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'habitat', 'season', 'does-bruise-or-bleed']",21.0,{'limit_data_percentage': 0.15}
CatBoostClassifier_stem2_cap_gill2_ringandveil2_other2_,0.9897934082087023,"{'iterations': 732, 'depth': 10, 'learning_rate': 0.0399992611816781, 'l2_leaf_reg': 0.0357901734155676, 'bagging_temperature': 0.4857074620390224, 'border_count': 125, 'scale_pos_weight': 0.9812033888552106, 'random_strength': 6.643126341367992, 'one_hot_max_size': 2, 'rsm': 0.6579528812321777, 'od_type': 'Iter', 'od_wait': 46}",<catboost.core.CatBoostClassifier object at 0x7f43ad6bb230>,"['stem-height', 'stem-width', 'stem-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'habitat', 'season', 'does-bruise-or-bleed']",45.0,{'limit_data_percentage': 0.15}
LGBMClassifier_stem2_cap_gill2_ringandveil2_other2_,0.9895880791212669,"{'n_estimators': 387, 'max_depth': 12, 'learning_rate': 0.17052526012225236, 'num_leaves': 47, 'min_child_weight': 0.7487321635924301, 'subsample': 0.22919729555158985, 'colsample_bytree': 0.4656764314371369, 'reg_alpha': 3.2147934610133467e-06, 'reg_lambda': 0.0011177828003554166}","LGBMClassifier(colsample_bytree=0.4656764314371369,
               learning_rate=0.17052526012225236, max_depth=12,
               min_child_weight=0.7487321635924301, n_estimators=387, n_jobs=12,
               num_leaves=47, reg_alpha=3.2147934610133467e-06,
               reg_lambda=0.0011177828003554166, subsample=0.22919729555158985,
               verbosity=-1)","['stem-height', 'stem-width', 'stem-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'habitat', 'season', 'does-bruise-or-bleed']",24.0,{'limit_data_percentage': 0.15}
RidgeClassifier_stem_cap_gill_ring_and_veil_other_,0.8372677448066976,"{'alpha': 1.0321481408532638, 'tol': 0.02013970691493237}","RidgeClassifier(alpha=1.0321481408532638, tol=0.02013970691493237)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'spore-print-color', 'habitat', 'season', 'does-bruise-or-bleed']",,{'limit_data_percentage': 0.15}
